goods_id,workbook,imgs,sku,name,category,description,recipe_card,tag
KR6sWiYTu6YEjZ3M,aglOZaREQrwSukAz,"[{'name': '10.18-starbucks31504', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=2M3vem4wrGn5ECBR'}, {'name': '1', 'url': 'https://starbucks.joywok.com/api/file/download?id=Ta81GnKTSRbjviKA'}, {'name': '3', 'url': 'https://starbucks.joywok.com/api/file/download?id=vpjyd0B5xuISzul4'}, {'name': '4', 'url': 'https://starbucks.joywok.com/api/file/download?id=oJUhJHaoH85H55Bk'}, {'name': '组 2', 'url': 'https://starbucks.joywok.com/api/file/download?id=6O5CnedGH4IyALtC'}]",11154796,冬日系列雪花款塑料吸管杯 710ml ,商品,“710”吸管杯的新成员雪花造型切面配上鎏光插卡搭配梦幻紫冰晶配色给节日带来闪耀心情,[],"11/3上市
冬日系列"
lW36zZxT6KJzh0ly,aglOZaREQrwSukAz,"[{'name': '09280366', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=TSbo8gWq5oE5QrLr'}, {'name': '1', 'url': 'https://starbucks.joywok.com/api/file/download?id=UPU3V4yLLT16s3ed'}, {'name': '3', 'url': 'https://starbucks.joywok.com/api/file/download?id=4KIFOAr50k8TcXXW'}, {'name': '4', 'url': 'https://starbucks.joywok.com/api/file/download?id=vRxplcxFEtGQnhwt'}, {'name': '组 2', 'url': 'https://starbucks.joywok.com/api/file/download?id=3MboZ83GDnWUWX5Y'}]",11154839,冬日系列雪花款玻璃杯 360ml,商品,紫色渐变玻璃杯身落满雪花为你承包一整个冬日的浪漫搭配造型把手，高级又好握,[],"11/3上市
冬日系列"
PfDCSnws7UqKPctx,aglOZaREQrwSukAz,"[{'name': '10.18 starbucks31377', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=StPnZ5RuEMXhkfiF'}, {'name': '1', 'url': 'https://starbucks.joywok.com/api/file/download?id=0xZmS3mB5h9c2REG'}, {'name': '2', 'url': 'https://starbucks.joywok.com/api/file/download?id=pWrLIRUWj7swFdkN'}, {'name': '3', 'url': 'https://starbucks.joywok.com/api/file/download?id=nt6gr4Y8An8biyhI'}, {'name': '4', 'url': 'https://starbucks.joywok.com/api/file/download?id=5dNnFKpszHSA3Y4g'}, {'name': '组 2', 'url': 'https://starbucks.joywok.com/api/file/download?id=1rmtH0BZYuKcV4ky'}]",11154849,冬日系列雪花款杯盖马克杯 410ml,商品,几何切面杯身金色立体雪花杯盖给你更加精致的节日气氛,[],"11/3上市
冬日系列"
wq3RSZ8fWqtB83tp,aglOZaREQrwSukAz,"[{'name': '10.18-starbucks31355', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=DKyHplQoGYvLUU0W'}, {'name': '1', 'url': 'https://starbucks.joywok.com/api/file/download?id=5A4oOgqL1iVcKgTn'}, {'name': '2', 'url': 'https://starbucks.joywok.com/api/file/download?id=sos8fltUg0kOblAp'}, {'name': '4', 'url': 'https://starbucks.joywok.com/api/file/download?id=RDCNuegqzfoPipIl'}, {'name': '5', 'url': 'https://starbucks.joywok.com/api/file/download?id=pE4vTLRnzPwO2KUR'}, {'name': '组 2', 'url': 'https://starbucks.joywok.com/api/file/download?id=dQ7oxT9fQ3WHBe1g'}]",11154815,冬日系列白色款不锈钢随行杯1000ml ,商品,1000ml大容量不锈钢杯可车载也可户外使用，随时随地享用温暖热饮内盖一键按下轻松倒水，杯盖可做直饮水杯杯身复古感十足，通体白色，简约质感,[],"11/3上市
冬日系列"
4zP33chBKvrYdHN7,aglOZaREQrwSukAz,"[{'name': '10.18 starbucks31371', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=FFtxM9zy9mDqMFGH'}, {'name': '1', 'url': 'https://starbucks.joywok.com/api/file/download?id=ibRClBETwIbTVyGf'}, {'name': '2', 'url': 'https://starbucks.joywok.com/api/file/download?id=uFSZDBy28vA1Gv7o'}, {'name': '3', 'url': 'https://starbucks.joywok.com/api/file/download?id=vO5R70sVz8FonPz8'}, {'name': '4', 'url': 'https://starbucks.joywok.com/api/file/download?id=IdoCHV4gB0q7VAIc'}, {'name': '6', 'url': 'https://starbucks.joywok.com/api/file/download?id=Rwf5OMlMP6fDcEXK'}, {'name': '组 2', 'url': 'https://starbucks.joywok.com/api/file/download?id=9LNQZ9G25TmmAAAC'}]",11154816,冬日系列雪融款不锈钢随行杯350ml ,商品,红白渐变沉浸感受冬日世界Contigo不锈钢保温杯直饮口设计配置autoseal按键和锁扣设计（荣获红点奖）防漏防撒随时享受一杯醇香咖啡,[],"11/3上市
冬日系列"
N841hRDyhAaoVCE5,aglOZaREQrwSukAz,"[{'name': '10.18 starbucks31217', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=5o7XMJwZ8zXViKqm'}, {'name': '1', 'url': 'https://starbucks.joywok.com/api/file/download?id=L7dl6tDeNczWNIC2'}, {'name': '2', 'url': 'https://starbucks.joywok.com/api/file/download?id=d3ROJhjbIUGMjYJi'}, {'name': '3', 'url': 'https://starbucks.joywok.com/api/file/download?id=7FHNx9zY2T8klSSq'}, {'name': '4', 'url': 'https://starbucks.joywok.com/api/file/download?id=E3KnmWYp0nzfS8bI'}, {'name': '5', 'url': 'https://starbucks.joywok.com/api/file/download?id=TbGi6FfXIhC8Xj1I'}, {'name': '组 2', 'url': 'https://starbucks.joywok.com/api/file/download?id=88PvX5Oi0j3lggHO'}]",11154850,冬日系列滑盖不锈钢桌面杯430ml ,商品,经典红杯造型不锈钢哑面杯身点缀立体打印小星星滑盖开关设计，单手可操作陪你一起迎接节日到来,[],"11/3上市
冬日系列"
4cc0J218WwoWNcIj,aglOZaREQrwSukAz,"[{'name': '10.18 starbucks31235', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=xjCFm7hvNMtBqr7v'}, {'name': '1', 'url': 'https://starbucks.joywok.com/api/file/download?id=rukzzpeqhq5ptnlI'}, {'name': '3', 'url': 'https://starbucks.joywok.com/api/file/download?id=eZeV8MmWmqBrx2wO'}, {'name': '5', 'url': 'https://starbucks.joywok.com/api/file/download?id=Ajv0Wiz1wHw8Zys5'}, {'name': '6', 'url': 'https://starbucks.joywok.com/api/file/download?id=XOJgzFexWXOxD4UM'}, {'name': '7', 'url': 'https://starbucks.joywok.com/api/file/download?id=aJut8M3JyoF32gwu'}, {'name': '组 2', 'url': 'https://starbucks.joywok.com/api/file/download?id=8T1MOmghY58XPnam'}]",11154814,冬日系列复古不锈钢随行杯（配杯套）355ml ,商品,小红帽杯盖装点节日氛围还可作为小水杯使用经典复古保温杯搭配精致可背杯套时尚出行,[],"11/3上市
冬日系列"
0EyAvG0oKRwmd5Is,aglOZaREQrwSukAz,"[{'name': '组 1 (9)', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=d7nRxQXkxuApuTWr'}, {'name': '组 1 (9)', 'url': 'https://starbucks.joywok.com/api/file/download?id=Hk8aURA503NT4vNI'}]",,1.2L膳魔师音乐狂欢系列吨吨桶,商品,"圆润饱满的桶型设计，造型流畅可爱, 融入灵动的音乐元素，大容量和把手设计，让饮水变得随性而愉悦。",[],
xC5MeSLBsd4LeOqe,aglOZaREQrwSukAz,"[{'name': '组 1 (4)', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=8h8PDrkz88SPmD6n'}, {'name': '组 1 (4)', 'url': 'https://starbucks.joywok.com/api/file/download?id=5rp81klccAOxFj8K'}]",,STANLEY联名1180ml音乐狂欢系列大头不锈钢杯,商品,1183ml STANLEY 网红超大容量吸管杯，可长时间保冷保冰，随时惬意畅快享用一大杯冰饮。自带把手，握感舒适，底座可契合汽车杯座，家庭办公室外出都适用。,[],
m7RgdK1ltYwXjiU8,aglOZaREQrwSukAz,"[{'name': '组 1 (6)', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=otFEv0a971ZVX6jm'}, {'name': '组 1 (6)', 'url': 'https://starbucks.joywok.com/api/file/download?id=8SWgA3hPBjgsJBYU'}]",,473ml音乐狂欢系列玻璃吸管杯,商品,473ml 玻璃吸管杯，大热的三角形杯身，抓握舒适，活泼的音乐元素点缀杯身， 靓丽吸管点缀，搭配饮品丰富色彩，时尚出片好搭档。,[],
